s u u t a t i	s u u t a d i n	no	-	-	-	s u u t a r i	s u u t a r i n
a s t i	a s d i n	no	-	-	-	a s k i	a s k i n
a r v o s t e l i p a	a r v o s t e l i v a n	no	-	-	-	a r v o s t e l i j a	a r v o s t e l i j a n
v i i k u	v i i v u n	no	-	-	-	v i i r u	v i i r u n
l u e t t e t o	l u e t t e d o n	no	-	-	-	l u e t t e l o	l u e t t e l o n
s y m b o k i	s y m b o v i n	no	-	-	-	s y m b o l i	s y m b o l i n
t e t o	t e d o n	no	-	-	-	t e h o	t e h o n
a l u t a	a l u d a n	no	-	-	-	a l u n a	a l u n a n
k r o u t i	k r o u d i n	no	-	-	-	k r o u v i	k r o u v i n
o h i k u l k i p a	o h i k u l k i v a n	no	-	-	-	o h i k u l k i j a	o h i k u l k i j a n
k o k o o n p a t o	k o k o o n p a d o n	no	-	-	-	k o k o o n p a n o	k o k o o n p a n o n
b a s i l i k a	b a s i l i j a n	no	-	-	-	b a s i l i k a	b a s i l i k a n
s u f f i k t i	s u f f i k d i n	no	-	-	-	s u f f i k s i	s u f f i k s i n
p a l a t k i	p a l a t  i n	no	-	-	-	p a l a t s i	p a l a t s i n
t i e d o t t a t a	t i e d o t t a d a n	no	-	-	-	t i e d o t t a j a	t i e d o t t a j a n
l e i p i	l e i v i n	no	-	-	-	l e i r i	l e i r i n
s p o i l e t i	s p o i l e d i n	no	-	-	-	s p o i l e r i	s p o i l e r i n
l i n t a	l i n d a n	no	-	-	-	l i n j a	l i n j a n
m a n t e p e	m a n t e r e e n	no	-	-	-	m a n t e r e	m a n t e r e e n
p i a n i s p i	p i a n i s v i n	no	-	-	-	p i a n i s t i	p i a n i s t i n
k e m i s k i	k e m i s v i n	no	-	-	-	k e m i s t i	k e m i s t i n
v o i t e k u	v o i t e v u n	no	-	-	-	v o i t e l u	v o i t e l u n
p u h d i s t a k o	p u h d i s t a v o n	no	-	-	-	p u h d i s t a m o	p u h d i s t a m o n
r y y p i	r y y v i n	no	-	-	-	r y y n i	r y y n i n
k a t a	k a d a n	no	-	-	-	k a s a	k a s a n
b a m p u	b a m v u n	no	-	-	-	b a m b u	b a m b u n
n a r k k a k i	n a r k k a j i n	no	-	-	-	n a r k k a r i	n a r k k a r i n
n a t s i s p i	n a t s i s v i n	no	-	-	-	n a t s i s m i	n a t s i s m i n
a r v o s t e t u	a r v o s t e d u n	no	-	-	-	a r v o s t e l u	a r v o s t e l u n
k a s i p o	k a s i v o n	no	-	-	-	k a s i n o	k a s i n o n
b a k t e e k i	b a k t e e v i n	no	-	-	-	b a k t e e r i	b a k t e e r i n
t e l e k p i	t e l e k v i n	no	-	-	-	t e l e k s i	t e l e k s i n
l o h t o	l o h d o n	no	-	-	-	l o h k o	l o h k o n
u i m a t a	u i m a d a n	no	-	-	-	u i m a l a	u i m a l a n
l i p e	l i v e n	no	-	-	-	l i v e	l i v e n
p a s p a	p a s v a n	no	-	-	-	p a s k a	p a s k a n
v a l i k o i t a	v a l i k o i d a n	no	-	-	-	v a l i k o i m a	v a l i k o i m a n
j a p a t i	j a p a d i n	no	-	-	-	j a p a n i	j a p a n i n
b i l j a r k i	b i l j a r j i n	no	-	-	-	b i l j a r d i	b i l j a r d i n
d e e k u	d e e j u n	no	-	-	-	d e e k u	d e e k u n
a n p a	a n v a n	no	-	-	-	a n s a	a n s a n
r a p a	r a v a n	no	-	-	-	r a h a	r a h a n
m i l j o n ä ä p i	m i l j o n ä ä v i n	no	-	-	-	m i l j o n ä ä r i	m i l j o n ä ä r i n
p a r t u p i	p a r t u v i n	no	-	-	-	p a r t u r i	p a r t u r i n
k o s k e t t e p u	k o s k e t t e v u n	no	-	-	-	k o s k e t t e l u	k o s k e t t e l u n
l a i t e	l a i n e e n	no	-	-	-	l a i n e	l a i n e e n
a j a t t e k u	a j a t t e  u n	no	-	-	-	a j a t t e l u	a j a t t e l u n
l i m p p a t i	l i m p p a d i n	no	-	-	-	l i m p p a r i	l i m p p a r i n
i k o t i	i k o d i n	no	-	-	-	i k o n i	i k o n i n
k a l a s t a k a	k a l a s t a v a n	no	-	-	-	k a l a s t a j a	k a l a s t a j a n
t i s k i	t i s  i n	no	-	-	-	t i s k i	t i s k i n
o i k e i s k o	o i k e i s  o n	no	-	-	-	o i k e i s t o	o i k e i s t o n
j a l o s t a p o	j a l o s t a v o n	no	-	-	-	j a l o s t a m o	j a l o s t a m o n
a s p e k k i	a s p e k v i n	no	-	-	-	a s p e k t i	a s p e k t i n
s i s k o	s i s v o n	no	-	-	-	s i s k o	s i s k o n
k i t a k a	k i t a  a n	no	-	-	-	k i t a r a	k i t a r a n
t e m p o	t e m v o n	no	-	-	-	t e m p o	t e m p o n
e v e r s p i	e v e r s v i n	no	-	-	-	e v e r s t i	e v e r s t i n
v e i t k i	v e i t  e n	no	-	-	-	v e i t s i	v e i t s e n
m a t t i	m a t d i n	no	-	-	-	m a t s i	m a t s i n
g r a t u	g r a d u n	no	-	-	-	g r a d u	g r a d u n
m a n u a a p i	m a n u a a v i n	no	-	-	-	m a n u a a l i	m a n u a a l i n
k e r t o	k e r d o n	no	-	-	-	k e r h o	k e r h o n
m i t a k i	m i t a j i n	no	-	-	-	m i t a l i	m i t a l i n
o l i i k i	o l i i  i n	no	-	-	-	o l i i v i	o l i i v i n
t i i k e p i	t i i k e v i n	no	-	-	-	t i i k e r i	t i i k e r i n
k ä t i	k ä d e n	no	-	-	-	k ä s i	k ä d e n
h a t u	h a d u n	no	-	-	-	h a j u	h a j u n
p e u k a l o i p a	p e u k a l o i v a n	no	-	-	-	p e u k a l o i j a	p e u k a l o i j a n
r u p e a k a	r u p e a v a n	no	-	-	-	r u p e a m a	r u p e a m a n
h a r j o i t t e t u	h a r j o i t t e d u n	no	-	-	-	h a r j o i t t e l u	h a r j o i t t e l u n
n e l j ä s o k a	n e l j ä s o j a n	no	-	-	-	n e l j ä s o s a	n e l j ä s o s a n
m u o t i	m u o d i n	no	-	-	-	m u o r i	m u o r i n
i s l a m i s k i	i s l a m i s  i n	no	-	-	-	i s l a m i s t i	i s l a m i s t i n
m y s t i	m y s d i n	no	-	-	-	m y s k i	m y s k i n
v i p s t a a k i	v i p s t a a  i n	no	-	-	-	v i p s t a a k i	v i p s t a a k i n
s h a m a a k i	s h a m a a j i n	no	-	-	-	s h a m a a n i	s h a m a a n i n
m i n i a t y y p i	m i n i a t y y v i n	no	-	-	-	m i n i a t y y r i	m i n i a t y y r i n
Found... k u l t a
k e r t o t a	k e r t o d a n	no	-	-	-	k e r t o j a	k e r t o j a n
p e u k a	p e u v a n	no	-	-	-	p e u r a	p e u r a n
t o k i	t o  i n	no	-	-	-	t o r i	t o r i n
n a a p u p i	n a a p u v i n	no	-	-	-	n a a p u r i	n a a p u r i n
r i e p u	r i e v u n	no	-	-	-	r i e m u	r i e m u n
j a u t e	j a u h e e n	no	-	-	-	j a u h e	j a u h e e n
v i u l i s t i	v i u l i s d i n	no	-	-	-	v i u l i s t i	v i u l i s t i n
t a k e	t a s e e n	no	-	-	-	t a s e	t a s e e n
r e t u	r e d u n	no	-	-	-	r e h u	r e h u n
k e t p u	k e t v u n	no	-	-	-	k e t j u	k e t j u n
h o p o	h o v o n	no	-	-	-	h o m o	h o m o n
l e i v i n p a p e p i	l e i v i n p a p e v i n	no	-	-	-	l e i v i n p a p e r i	l e i v i n p a p e r i n
v e p e	v e n e e n	no	-	-	-	v e n e	v e n e e n
d e k a a k i	d e k a a v i n	no	-	-	-	d e k a a n i	d e k a a n i n
o p a	o v a n	no	-	-	-	o s a	o s a n
i s k u	i s v u n	no	-	-	-	i s k u	i s k u n
s u o k a	s u o  a n	no	-	-	-	s u o r a	s u o r a n
l a t i k a	l a t i v a n	no	-	-	-	l a t i n a	l a t i n a n
a r k e o l o k i	a r k e o l o v i n	no	-	-	-	a r k e o l o g i	a r k e o l o g i n
s i n g p e	s i n g v e n	no	-	-	-	s i n g l e	s i n g l e n
e t o	e d o n	no	-	-	-	e m o	e m o n
r e s e r p i	r e s e r v i n	no	-	-	-	r e s e r v i	r e s e r v i n
p e n a a k i	p e n a a  i n	no	-	-	-	p e n a a l i	p e n a a l i n
f u k t i	f u k d i n	no	-	-	-	f u k s i	f u k s i n
a u k a i k u	a u k a i  u n	no	-	-	-	a u k a i s u	a u k a i s u n
k i p o	k i v o n	no	-	-	-	k i l o	k i l o n
e s i t e	e s i n e e n	no	-	-	-	e s i n e	e s i n e e n
m u k a e l t a	m u k a e l d a n	no	-	-	-	m u k a e l m a	m u k a e l m a n
s a d e t t a t a	s a d e t t a d a n	no	-	-	-	s a d e t t a j a	s a d e t t a j a n
